Zhuyin	Hanyu Pinyin	Tongyong Pinyin	Frequency  (per million)
ㄍㄨ	gu	gu	3666.04
ㄍㄨㄚ	gua	gua	311.62
ㄍㄨㄛ	guo	guo	10246.22
ㄍㄨㄞ	guai	guai	181.87
ㄍㄨㄟ	gui	guei	2086.97
ㄍㄨㄢ	guan	guan	6377.28
ㄍㄨㄣ	gun	gun	69.37
ㄍㄨㄤ	guang	guang	1899.77
ㄍㄨㄥ	gong	gong	11237.59
ㄎㄚ	ka	ka	690.72
ㄎㄜ	ke	ke	7515.69
ㄎㄞ	kai	kai	1946.7
ㄎㄟ(-)	kei	kei	N/A
ㄎㄠ	kao	kao	953.87
ㄎㄡ	kou	kou	918.41
ㄎㄢ	kan	kan	1857.01
ㄎㄣ	ken	ken	130.62
ㄎㄤ	kang	kang	605.73
ㄎㄥ	keng	keng	41.03
ㄎㄨ	ku	ku	829.99
ㄎㄨㄚ	kua	kua	110.55
ㄎㄨㄛ	kuo	kuo	393.99
ㄎㄨㄞ	kuai	kuai	1970.6
ㄎㄨㄟ	kui	kuei	197.1
ㄎㄨㄢ	kuan	kuan	442.06
ㄎㄨㄣ	kun	kun	227.28
ㄎㄨㄤ	kuang	kuang	581.38
ㄎㄨㄥ	kong	kong	1198.23
ㄏㄚ	ha	ha	146.59
ㄏㄜ	he	he	4211.02
ㄏㄞ	hai	hai	1919.42
ㄏㄟ	hei	hei	210.42
ㄏㄠ	hao	hao	3041.36
ㄏㄡ	hou	hou	2339.8
ㄏㄢ	han	han	977.45
ㄏㄣ	hen	hen	656.63
ㄏㄤ	hang	hang	1470.42
ㄏㄥ	heng	heng	235.07
ㄏㄨ	hu	hu	3015.18
ㄏㄨㄚ	hua	hua	6820.85
ㄏㄨㄛ	huo	huo	5396.5
ㄏㄨㄞ	huai	huai	266.45
ㄏㄨㄟ	hui	huei	10041.91
ㄏㄨㄢ	huan	huan	2098.06
ㄏㄨㄣ	hun	hun	319.5
ㄏㄨㄤ	huang	huang	750.47
ㄏㄨㄥ	hong	hong	740.6
ㄐㄧ	ji	ji	22840.51
ㄐㄧㄚ	jia	jia	6250.78
ㄐㄧㄝ	jie	jie	7783.01
ㄐㄧㄠ	jiao	jiao	6691.18
ㄐㄧㄡ	jiu	jiou	4910.11
ㄐㄧㄢ	jian	jian	9647.9
ㄐㄧㄣ	jin	jin	5874.93
ㄐㄧㄤ	jiang	jiang	2561.36
ㄐㄧㄥ	jing	jing	5604.26
ㄐㄩ	ju	jyu	3807.36
ㄐㄩㄝ	jue	jue	1334.81
ㄐㄩㄢ	juan	juan	435.92
ㄐㄩㄣ	jun	jun	1047.28
ㄐㄩㄥ	jiong	jyong	29.36
ㄑㄧ	qi	ci	9052.67
ㄑㄧㄚ	qia	cia	111.88
ㄑㄧㄝ	qie	cie	781.45
ㄑㄧㄠ	qiao	ciao	556.52
ㄑㄧㄡ	qiu	ciou	2610.67
ㄑㄧㄢ	qian	cian	3968.92
ㄑㄧㄣ	qin	cin	657.88
ㄑㄧㄤ	qiang	ciang	822.62
ㄑㄧㄥ	qing	cing	5419.93
ㄑㄩ	qu	cyu	3137.85
ㄑㄩㄝ	que	cyue	868.15
ㄑㄩㄢ	quan	cyuan	4122.75
ㄑㄩㄣ	qun	cyun	313.24
ㄑㄩㄥ	qiong	cyong	72.09
ㄒㄧ	xi	si	7551
ㄒㄧㄚ	xia	sia	3249.39
ㄒㄧㄝ	xie	sie	3168.93
